,"('true_positive', 'false_positive')","('true_positive', 'true_positive')","('true_positive', 'unknown')",tool,false-neg,true-neg,sensitivity,precision,specificity,accuracy,recall,F1,percent_unclassified
1,0,66,22,abricate,9,2,0.88,1.0,1.0,1.0,7.333333333333333,1.7600000000000002,0.25
0,2,62,71,amrfinderplus,9,1,0.8732394366197183,0.96875,0.3333333333333333,0.9692307692307692,5.636363636363637,1.6533333333333335,0.5259259259259259
2,0,98,23,deeparg,8,2,0.9245283018867925,1.0,1.0,1.0,12.25,1.849056603773585,0.19008264462809918
4,1,43,15,resfinder 4,9,1,0.8269230769230769,0.9772727272727273,0.5,0.9777777777777777,4.3,1.5925925925925926,0.2542372881355932
5,4,559,255,rgi,6,1,0.9893805309734514,0.9928952042628775,0.2,0.9929078014184397,55.9,1.9511343804537522,0.3117359413202934
6,0,10,3,srax,11,2,0.47619047619047616,1.0,1.0,1.0,0.9090909090909091,0.9523809523809523,0.23076923076923078
3,1,52,11,staramr,9,1,0.8524590163934426,0.9811320754716981,0.5,0.9814814814814815,5.2,1.6507936507936507,0.171875
