,"('true_positive', 'false_positive')","('true_positive', 'true_positive')","('true_positive', 'unknown')",tool,false-neg,true-neg,sensitivity,precision,specificity,accuracy,recall,F1,percent_unclassified
1,0,21,5,abricate,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.19230769230769232
0,0,22,23,amrfinderplus,0,2,1.0,1.0,1.0,0.96,1.0,1.0,0.5111111111111111
2,0,2,1,deeparg,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
4,0,12,5,resfinder 4,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.29411764705882354
5,1,77,38,rgi,0,1,1.0,0.9871794871794872,0.5,0.9512195121951219,1.0,0.9935483870967742,0.3275862068965517
6,0,10,3,srax,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.23076923076923078
3,1,36,6,staramr,0,1,1.0,0.972972972972973,0.5,0.9736842105263158,1.0,0.9863013698630138,0.13953488372093023
